,name,amount,percent_change,volume,symbol,as_of
0,Jollibee,167.1,,990990,JFC,2020-03-02T00:00:00+08:00
1,Jollibee,168.0,,1158580,JFC,2020-03-03T00:00:00+08:00
2,Jollibee,174.6,,869400,JFC,2020-03-04T00:00:00+08:00
3,Jollibee,184.0,,1144230,JFC,2020-03-05T00:00:00+08:00
4,Jollibee,176.5,,637540,JFC,2020-03-06T00:00:00+08:00
5,Jollibee,163.0,,1144100,JFC,2020-03-09T00:00:00+08:00
6,Jollibee,158.0,,1251780,JFC,2020-03-10T00:00:00+08:00
7,Jollibee,166.3,,916340,JFC,2020-03-11T00:00:00+08:00
8,Jollibee,153.0,,1198200,JFC,2020-03-12T00:00:00+08:00
9,Jollibee,140.5,,2203770,JFC,2020-03-13T00:00:00+08:00
10,Jollibee,121.0,,2237330,JFC,2020-03-16T00:00:00+08:00
11,Jollibee,91.1,,3310100,JFC,2020-03-19T00:00:00+08:00
12,Jollibee,100.0,,1994100,JFC,2020-03-20T00:00:00+08:00
13,Jollibee,95.0,,2580240,JFC,2020-03-23T00:00:00+08:00
14,Jollibee,95.0,,1597120,JFC,2020-03-24T00:00:00+08:00
15,Jollibee,98.45,,4027090,JFC,2020-03-25T00:00:00+08:00
16,Jollibee,102.2,,3227240,JFC,2020-03-26T00:00:00+08:00
17,Jollibee,107.0,,3592270,JFC,2020-03-27T00:00:00+08:00
18,Jollibee,103.0,,801630,JFC,2020-03-30T00:00:00+08:00
19,Jollibee,106.4,,1549020,JFC,2020-03-31T00:00:00+08:00
20,Jollibee,103.2,,2526960,JFC,2020-04-01T00:00:00+08:00
21,Jollibee,102.0,,1284860,JFC,2020-04-02T00:00:00+08:00
22,Jollibee,102.0,,846300,JFC,2020-04-03T00:00:00+08:00
23,Jollibee,106.0,,1865350,JFC,2020-04-06T00:00:00+08:00
24,Jollibee,110.5,,2745330,JFC,2020-04-07T00:00:00+08:00
25,Jollibee,120.0,,2922350,JFC,2020-04-08T00:00:00+08:00
